"authors","year","title","venue"
"0","2003","Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces","VLDB"
"0","1996","Efficient Snapshot Differential Algorithms for Data Warehousing","VLDB"
"0","1996","Integrating Triggers and Declarative Constraints in SQL Database Sytems","VLDB"
"0","2003","Efficient IR-Style Keyword Search over Relational Databases","VLDB"
"0","2002","Indexing of now-relative spatio-bitemporal data","VLDB J."
"0","2003","Temporal Coalescing with Now, Granularity, and Incomplete Information","SIGMOD Conference"
"0","2003","Database Research at UT Arlington","SIGMOD Record"
"0","1995","Why Decision Support Fails and How To Fix It","SIGMOD Record"
"0","1994","A Low-Cost Storage Server for Movie on Demand Databases","VLDB"
"0","1999","Generating Call-Level Interfaces for Advanced Database Application Programming","VLDB"
"0","2002","Clustering by pattern similarity in large data sets","SIGMOD Conference"
"0","2000","MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality","SIGMOD Conference"
"0","2000","Fact: A Learning Based Web Query Processing System","SIGMOD Conference"
"0","2001","SQL Multimedia and Application Packages (SQL/MM)","SIGMOD Record"
"0","1996","Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets","VLDB"
"0","2001","XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract)","SIGMOD Conference"
"0","1997","An Overview of Data Warehousing and OLAP Technology","SIGMOD Record"
"0","1994","Staggered Striping in Multimedia Information Systems","SIGMOD Conference"
"0","2003","Multimedia streaming in large-scale sensor networks with mobile swarms","SIGMOD Record"
"0","1994","How to Modify SQL Queries in Order to Guarantee Sure Answers","SIGMOD Record"
"0","1994","Materialization: A Powerful and Ubiquitous Abstraction Pattern","VLDB"
"0","2001","Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation","SIGMOD Conference"
"0","1994","Data Modelling in the Large","SIGMOD Record"
"0","2001","Updating XML","SIGMOD Conference"
"0","2002","Research in Information Managment at Dublin City University","SIGMOD Record"
"0","1998","The Multidimensional Database System RasDaMan","SIGMOD Conference"
"0","2001","Analyzing energy behavior of spatial access methods for memory-resident data","VLDB"
"0","1999","The Value of Merge-Join and Hash-Join in SQL Server","VLDB"
"0","2002","Efficient execution of joins in a star schema","SIGMOD Conference"
"0","2000","PicoDMBS: Scaling Down Database Techniques for the Smartcard","VLDB"
"0","1999","Multi-Dimensional Substring Selectivity Estimation","VLDB"
"0","1999","The Intrinsic Problems of Structural Heterogeneity and an Approach to Their Solution","VLDB J."
"0","1999","A Database Perspective on Lotus Domino/Notes","SIGMOD Conference"
"0","1996","Domains, Relations and Religious Wars","SIGMOD Record"
"0","2003","The Data-Centric Revolution in Networking","VLDB"
"0","2003","Cache-and-Query for Wide Area Sensor Databases","SIGMOD Conference"
"0","1995","A Cost Model for Clustered Object-Oriented Databases","VLDB"
"0","1998","Expiring Data in a Warehouse","VLDB"
"0","1997","Opportunities in Information Management and Assurance","SIGMOD Record"
"0","1997","Finding Data in the Neighborhood","VLDB"
"0","2001","PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries","SIGMOD Conference"
"0","2002","Editor's Notes","SIGMOD Record"
"0","2002","Rainbow: mapping-driven XQuery processing system","SIGMOD Conference"
"0","1996","Algebraic Query Optimisation for Database Programming Languages","VLDB J."
"0","1995","Static Analysis Techniques for Predicting the Behavior of Active Database Rules","ACM Trans. Database Syst."
"0","1994","The ORES Temporal Database Management System","SIGMOD Conference"
"0","1996","Magic Conditions","ACM Trans. Database Syst."
"0","1995","L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS","VLDB"
"0","1998","Ubiquitous, Self-tuning, Scalable Servers","SIGMOD Conference"
"0","1999","Explaining Differences in Multidimensional Aggregates","VLDB"
"0","1995","A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System","VLDB"
"0","1994","Database in Crisis and Transition: A Technical Agenda for the Year 2001","SIGMOD Conference"
"0","1995","Workflow Automation: Applications, Technology, and Research (Tutorial)","SIGMOD Conference"
"0","2000","Workshop on Performance and Architecture of Web Servers (PAWS-2000, held in conjection with SIGMETRICS-2000)","SIGMOD Record"
"0","2000","A Scalable Algorithm for Answering Queries Using Views","VLDB"
"0","2002","Why I Like Working in Academia","SIGMOD Record"
"0","2001","Efficient and Tunable Similar Set Retrieval","SIGMOD Conference"
"0","2002","Fast and Accurate Text Classification via Multiple Linear Discriminant Projections","VLDB"
"0","2001","Business Process Coordination: State of the Art, Trends, and Open Issues","VLDB"
"0","2000","Work and Information Practices in the Sciences of Biodiversity","VLDB"
"0","1994","Data Modeling of Time-Based Media","SIGMOD Conference"
"0","1995","Space Optimization in Deductive Databases","ACM Trans. Database Syst."
"0","2000","Chair's Message","SIGMOD Record"
"0","1994","Trade Press News - Announcement and Preface","SIGMOD Record"
"0","2001","Improving Index Performance through Prefetching","SIGMOD Conference"
"0","1996","New Programs at DARPA and NSF","SIGMOD Record"
"0","1994","Investigation of Algebraic Query Optimisation Techniques for Database Programming Languages","VLDB"
"0","1999","Physical Data Independence, Constraints, and Optimization with Universal Plans","VLDB"
"0","1999","An Adaptive Query Execution System for Data Integration","SIGMOD Conference"
"0","2001","The Semantic Web Paving the Way to the Knowledge Society","VLDB"
"0","1997","Parallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications","VLDB"
"0","2003","Path sharing and predicate evaluation for high-performance XML filtering","ACM Trans. Database Syst."
"0","2003","Processing Set Expressions over Continuous Update Streams","SIGMOD Conference"
"0","1999","Performance Measurements of Compressed Bitmap Indices","VLDB"
"0","1999","Hierarchical Prefix Cubes for Range-Sum Queries","VLDB"
"0","2003","Removing permissions in the flexible authorization framework","ACM Trans. Database Syst."
"0","1998","ARIADNE: A System for Constructing Mediators for Internet Sources","SIGMOD Conference"
"0","2001","Multiway spatial joins","ACM Trans. Database Syst."
"0","1996","Implementing Data Cubes Efficiently","SIGMOD Conference"
"0","1994","Recent Design Trade-offs in SQL3","SIGMOD Record"
"0","1999","SQLJ-Part 1: SQL Routines Using the Java Programming Language","SIGMOD Record"
"0","1997","Similarity-Based Queries for Time Series Data","SIGMOD Conference"
"0","1999","A Distributed Scientific Data Archive Using the Web, XML and SQL/MED","SIGMOD Record"
"0","2002","Viator - A Tool Family for Graphical Networking and Data View Creation","VLDB"
"0","2001","Information Warfare and Security - Book Review","SIGMOD Record"
"0","1999","The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems","VLDB"
"0","1995","Estimating the Selectivity of Spatial Queries Using the `Correlation' Fractal Dimension","VLDB"
"0","1999","Semantic Heterogeneity Resolution in Federated Databases by Metadata Implantation and Stepwise Evolution","VLDB J."
"0","1994","Performance Evaluation of a New Distributed Deadlock Detection Algorithm","SIGMOD Record"
"0","2001","SQL and Management of External Data","SIGMOD Record"
"0","2003","AQuery: Query Language for Ordered Data, Optimization Techniques, and Experiments","VLDB"
"0","1997","Resource Scheduling in Enhanced Pay-Per-View Continuous Media Databases","VLDB"
"0","2001","REVIEW: A Real Time Virtual Walkthrough System","SIGMOD Conference"
"0","1994","A Modified Random Perturbation Method for Database Security","ACM Trans. Database Syst."
"0","1999","Managing Web Data","SIGMOD Conference"
"0","1996","Loading the Data Warehouse Across Various Parallel Architectures","VLDB"
"0","1995","HODFA: An Architectural Framework for Homogenizing Heterogeneous Legacy Database","SIGMOD Record"
"0","2002","Database Tuning: Principles, Experiments, and Troubleshooting Techniques","VLDB"
"0","2003","Reminiscences an Influential Papers","SIGMOD Record"
"0","1995","Application of OODB and SGML Techniques in Text Database: An Electronic Dictionary System","SIGMOD Record"
"0","1998","Java and Relational Databases: SQLJ (Tutorial)","SIGMOD Conference"
"0","2002","Covering indexes for branching path queries","SIGMOD Conference"
"0","1995","Semint: A System Prototype for Semantic Integration in Heterogeneous Databases","SIGMOD Conference"
"0","2001","Career-Enhancing Services at SIGMOD Online","SIGMOD Record"
"0","1997","Revisiting Commit Processing in Distributed Database Systems","SIGMOD Conference"
"0","1999","Type-Checking OQL Queries In the ODMG Type Systems","ACM Trans. Database Syst."
"0","1995","Things Every Update Replication Customer Should Know","SIGMOD Conference"
"0","2003","In Memory of G�sli R. Hjaltason","SIGMOD Record"
"0","1994","Query Optimization by Predicate Move-Around","VLDB"
"0","1998","Catching the Boat with Strudel: Experiences with a Web-Site Management System","SIGMOD Conference"
"0","2001","Adaptable Query Optimization and Evaluation in Temporal Middleware","SIGMOD Conference"
"0","1996","BIRCH: An Efficient Data Clustering Method for Very Large Databases","SIGMOD Conference"
"0","2002","Time-parameterized queries in spatio-temporal databases","SIGMOD Conference"
"0","1997","Scalable Parallel Data Mining for Association Rules","SIGMOD Conference"
"0","2000","An algebraic approach to static analysis of active database rules","ACM Trans. Database Syst."
"0","1995","OS Support for VLDBs: Unix Enhancements for the Teradata Data Base","VLDB"
"0","2002","Dwarf: shrinking the PetaCube","SIGMOD Conference"
"0","1996","Thinksheet: A Tool for Tailoring Complex Documents","SIGMOD Conference"
"0","1996","On-line Reorganization of Sparsely-populated B+trees","SIGMOD Conference"
"0","2000","Handling Very Large Databases with Informix Extended Parallel Server","SIGMOD Conference"
"0","1994","Including Group-By in Query Optimization","VLDB"
"0","1995","Value-cognizant Speculative Concurrency Control","VLDB"
"0","2002","Data Mining: Practical Machine Learning Tools and Techniques - Book Review","SIGMOD Record"
"0","2001","Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB)","SIGMOD Record"
"0","1997","STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper)","SIGMOD Conference"
"0","1996","The X-tree : An Index Structure for High-Dimensional Data","VLDB"
"0","2002","Eliminating Fuzzy Duplicates in Data Warehouses","VLDB"
"0","2003","A Database Striptease or How to Manage Your Personal Databases","VLDB"
"0","2002","An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs","SIGMOD Conference"
"0","1995","Temporal Database System Implementations","SIGMOD Record"
"0","2003","XSEarch: A Semantic Search Engine for XML","VLDB"
"0","1995","OPOSSUM: Desk-Top Schema Management through Customizable Visualization","VLDB"
"0","2002","Atomicity and isolation for transactional processes","ACM Trans. Database Syst."
"0","1999","Logical Logging to Extend Recovery to New Domains","SIGMOD Conference"
"0","1994","The IMPRESS DDT: A Database Design Toolbox Based on a Formal Specification Language","SIGMOD Conference"
"0","1997","Online Aggregation","SIGMOD Conference"
"0","1996","Semi-automatic, Self-adaptive Control of Garbage Collection Rates in Object Databases","SIGMOD Conference"
"0","1998","A Single Pass Computing Engine for Interactive Analysis of VLDBs","VLDB"
"0","1996","Fast Nearest Neighbor Search in Medical Image Databases","VLDB"
"0","1994","Metadata for Digital Media: Introduction to the Special Issue","SIGMOD Record"
"0","1996","In Reply to Domains, relations and Religious Wars","SIGMOD Record"
"0","1998","Bank of America Case Study: The Information Currency Advantage","VLDB"
"0","2002","Tree pattern query minimization","VLDB J."
"0","1994","Fine-Grained Sharing in a Page Server OODBMS","SIGMOD Conference"
"0","1998","ADEPT: An Agent-Based Approach to Business Process Management","SIGMOD Record"
"0","2001","Introduction to the Career Forum Column","SIGMOD Record"
"0","2000","Image Mining in IRIS: Integrated Retinal Information System","SIGMOD Conference"
"0","1994","Enterprise Information Architectures -- They're Finally Changing","SIGMOD Conference"
"0","2003","Integrating Information for On Demand Computing","VLDB"
"0","1995","Th�mis: A Database Programming Language Handling Integrity Constraints","VLDB J."
"0","1994","An Introduction to Deductive Database Languages and Systems","VLDB J."
"0","2002","Information Management Challenges from the Aerospace Industry","VLDB"
"0","1996","State of the Art in Workflow Management Research and Products","SIGMOD Conference"
"0","1999","VideoAnywhere: A System for Searching and Managing Distributed Video Assets","SIGMOD Record"
"0","2002","Phoenix Project: Fault-Tolerant Applications","SIGMOD Record"
"0","2002","Cluster Validity Methods: Part I","SIGMOD Record"
"0","1995","DIRECTV and Oracle Rdb: The Challenges of VLDB Transaction Processing","SIGMOD Conference"
"0","1994","Ensuring Relaxed Atomicity for Flexible Transactions in Multidatabase Systems","SIGMOD Conference"
"0","1998","Replication, Consistency, and Practicality: Are These Mutually Exclusive?","SIGMOD Conference"
"0","2002","A-TOPSS - A Publish/Subscribe System Supporting Approximate Matching","VLDB"
"0","2002","Searching in metric spaces with user-defined and approximate distances","ACM Trans. Database Syst."
"0","1996","Algorithms for Deferred View Maintenance","SIGMOD Conference"
"0","2000","Design and Development of a Stream Service in a Heterogenous Client Environment","VLDB"
"0","2002","COUGAR: the network is the database","SIGMOD Conference"
"0","1995","The Data That You Won't Find in Databases: Tutorial panel on data exchange formats","SIGMOD Conference"
"0","2000","Effective Timestamping in Databases","VLDB J."
"0","2002","SilkRoute: A framework for publishing relational data in XML","ACM Trans. Database Syst."
"0","2003","The TPR*-Tree: An Optimized Spatio-Temporal Access Method for Predictive Queries","VLDB"
"0","1996","Editor's Notes","SIGMOD Record"
"0","2003","Mapping Adaptation under Evolving Schemas","VLDB"
"0","2003","The ND-Tree: A Dynamic Indexing Technique for Multidimensional Non-ordered Discrete Data Spaces","VLDB"
"0","1998","Transactional Publish / Subscribe: The Proactive Multicast of Database Changes","SIGMOD Conference"
"0","2001","Exploiting Constraint-Like Data Characterizations in Query Optimization","SIGMOD Conference"
"0","1996","METU Interoperable Database System","SIGMOD Conference"
"0","1996","Clustering Techniques for Minimizing External Path Length","VLDB"
"0","1998","The National Medical Knowledge Bank","VLDB"
"0","2003","Guest editorial","VLDB J."
"0","2003","Report on FQAS 2002: fifth international conference on flexible query answering systems","SIGMOD Record"
"0","2002","An Automated System for Web Portal Personalization","VLDB"
"0","2001","WebFilter: A High-throughput XML-based Publish and Subscribe System","VLDB"
"0","1997","OGDI: Toward Interoperability among Geospatial Databases","SIGMOD Record"
"0","2000","Editor's Notes","SIGMOD Record"
"0","1998","Dimensionality Reduction for Similarity Searching in Dynamic Databases","SIGMOD Conference"
"0","2000","Push Technology Personalization through Event Correlation","VLDB"
"0","1998","Oracle Industrial Exhibit","VLDB"
"0","1997","A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data","VLDB"
"0","2001","Editor's Notes","SIGMOD Record"
"0","2002","Translating Web Data","VLDB"
"0","1996","Repository System Engineering","SIGMOD Conference"
"0","2000","SIGMOD Sister Societies","SIGMOD Record"
"0","2001","Semantic integrity support in SQL: 1999 and commercial (object-)relational database management systems","VLDB J."
"0","1995","Adaptable Pointer Swizzling Strategies in Object Bases: Design, Realization, and Quantitative Analysis","VLDB J."
"0","2002","Implementing XQuery","SIGMOD Conference"
"0","1998","Mining Surprising Patterns Using Temporal Description Length","VLDB"
"0","2002","Continually evaluating similarity-based pattern queries on a streaming time series","SIGMOD Conference"
"0","2003","Efficient Approximation Of Optimization Queries Under Parametric Aggregation Constraints","VLDB"
"0","1994","The Aditi Deductive Database System","VLDB J."
"0","1999","On Random Sampling over Joins","SIGMOD Conference"
"0","2001","FeedbackBypass: A New Approach to Interactive Similarity Query Processing","VLDB"
"0","1999","A Multimedia Presentation Algebra","SIGMOD Conference"
"0","1995","A Structured Approach for the Definition of the Semantics of Active Databases","ACM Trans. Database Syst."
"0","1994","Fast Algorithms for Mining Association Rules in Large Databases","VLDB"
"0","2003","Large-Scale, Standards-Based Earth Observation Imagery and Web Mapping Services","VLDB"
"0","1994","Combinatorial Pattern Discovery for Scientific Data: Some Preliminary Results","SIGMOD Conference"
"0","1996","Partition Based Spatial-Merge Join","SIGMOD Conference"
"0","2003","WebService Composition with O'GRAPE and OSIRIS","VLDB"
"0","1999","Optimal Grid-Clustering: Towards Breaking the Curse of Dimensionality in High-Dimensional Clustering","VLDB"
"0","1995","The Database Group at University of Hagen (FernUniversitaet)","SIGMOD Record"
"0","2003","Extended Wavelets for Multiple Measures","SIGMOD Conference"
"0","2003","Business Modelling Using SQL Spreadsheets","VLDB"
"0","1998","Optimal Multi-Step k-Nearest Neighbor Search","SIGMOD Conference"
"0","2002","Hierarchical subspace sampling: a unified framework for high dimensional data reduction, selectivity estimation and nearest neighbor search","SIGMOD Conference"
"0","1996","An Experimental System for Object-Based Sharing in Federated Databases","VLDB J."
"0","1995","The Lotus Notes Storage System","SIGMOD Conference"
"0","2003","Schema-driven Customization of Web Services","VLDB"
"0","1994","Evaluation of Remote Backup Algorithms for Transaction-Processing Systems","ACM Trans. Database Syst."
"0","1998","Using Schematically Heterogeneous Structures","SIGMOD Conference"
"0","1999","Generalised Hash Teams for Join and Group-by","VLDB"
"0","2002","TPC-DS, taking decision support benchmarking to the next level","SIGMOD Conference"
"0","1998","Heterogeneous Database Query Optimization in DB2 Universal DataJoiner","VLDB"
"0","1995","Processing Object-Oriented Queries with Invertible Late Bound Functions","VLDB"
"0","2002","Combining Fuzzy Information: an Overview","SIGMOD Record"
"0","2003","NexusScout: An Advanced Location-Based Application on a Distributed, Open Mediation Platform","VLDB"
"0","1998","Incremental Clustering for Mining in a Data Warehousing Environment","VLDB"
"0","2003","Efficient similarity search and classification via rank aggregation","SIGMOD Conference"
"0","1997","Using Extended Feature Objects for Partial Similarity Retrieval","VLDB J."
"0","2003","Composing Web services on the Semantic Web","VLDB J."
"0","2003","IrisNet: Internet-scale Resource-Intensive Sensor Services","SIGMOD Conference"
"0","1997","Range Queries in OLAP Data Cubes","SIGMOD Conference"
"0","2003","A Characterization of the Sensitivity of Query Optimization to Storage Access Cost Parameters","SIGMOD Conference"
"0","1999","Online Dynamic Reordering for Interactive Data Processing","VLDB"
"0","2000","Progressive evaluation of nested aggregate queries","VLDB J."
"0","1995","The INCINERATE Data Model","ACM Trans. Database Syst."
"0","1999","Semantic Interoperability in Global Information Systems: A Brief Introduction to the Research Area and the Special Section","SIGMOD Record"
"0","2000","lambda-DB: An ODMG-Based Object-Oriented DBMS","SIGMOD Conference"
"0","1996","Data Access for the Masses through OLE DB","SIGMOD Conference"
"0","1999","Integration of Spatial Join Algorithms for Processing Multiple Inputs","SIGMOD Conference"
"0","2002","Report on the Mobile Search Workshop at WWW 2002","SIGMOD Record"
"0","1996","Spatial Hash-Joins","SIGMOD Conference"
"0","1994","The TV-Tree: An Index Structure for High-Dimensional Data","VLDB J."
"0","1994","Cumulative Updates","VLDB"
"0","2003","Report on the 17th Brazilian Symposium on Database Systems (SBBD 2002)","SIGMOD Record"
"0","2001","Accessibility of the Database Literature","SIGMOD Record"
"0","2002","Too Much Middleware","SIGMOD Record"
"0","2001","Will Database Researchers Have ANY Role in Data Security? (Panel Abstract)","SIGMOD Conference"
"0","1998","50,000 Users on an Oracle8 Universal Server Database","SIGMOD Conference"
"0","2000","Approximate Query Translation Across Heterogeneous Information Sources","VLDB"
"0","2000","Media360 Workflow-Implementing a Workflow Engine Inside a Database","VLDB"
"0","2003","Statistical Schema Matching across Web Query Interfaces","SIGMOD Conference"
"0","1999","Constant Time Permutation: An Efficient Block Allocation Strategy for Variable-Bit-Rate Continuous Media Data","VLDB J."
"0","2000","Cache investment: integrating query optimization and distributed data placement","ACM Trans. Database Syst."
"0","1997","Editor's Notes","SIGMOD Record"
"0","1998","Information Director's Message","SIGMOD Record"
"0","2001","Continuous Queries over Data Streams","SIGMOD Record"
"0","1997","Converting Relational to Object-Oriented Databases","SIGMOD Record"
"0","1995","Enhancing Database Correctness: a Statistical Approach","SIGMOD Conference"
"0","1994","Constructing the Next 100 Database Management Systems","SIGMOD Record"
"0","2001","Efficient Computation of Iceberg Cubes with Complex Measures","SIGMOD Conference"
"0","2001","A Fast Index for Semistructured Data","VLDB"
"0","2002","A Monte Carlo algorithm for fast projective clustering","SIGMOD Conference"
"0","2003","Towards a database body of knowledge: a study from Spain","SIGMOD Record"
"0","2003","BibFinder/StatMiner: Effectively Mining and Using Coverage and Overlap Statistics in Data Integration","VLDB"
"0","2002","Software as a service: ASP and ASP aggregation","SIGMOD Conference"
"0","2000","CheeTah: a Lightweight Transaction Server for Plug-and-Play Internet Data Management","VLDB"
"0","2001","DIMACS Summer School Tutorial on New Frontiers in Data Mining","SIGMOD Record"
"0","1997","Principles of Optimally Placing Data in Tertiary Storage Libraries","VLDB"
"0","2001","Flexible support for multiple access control policies","ACM Trans. Database Syst."
"0","1994","ARIES/CSA: A Method for Database Recovery in Client-Server Architectures","SIGMOD Conference"
"0","1996","Providing Better Support for a Class of Decision Support Queries","SIGMOD Conference"
"0","1999","Spatio-Temporal Retrieval with RasDaMan","VLDB"
"0","1996","TCP-D - The Challenges, Issues and Results","SIGMOD Record"
"0","2001","Reminiscences on Influential Papers","SIGMOD Record"
"0","1998","Computing Iceberg Queries Efficiently","VLDB"
"0","1995","Paradise: A Database System for GIS Applications","SIGMOD Conference"
"0","1995","Very Large Databases: How Large, How Different?","VLDB"
"0","2001","Automatic Segmentation of Text into Structured Records","SIGMOD Conference"
"0","2000","XPERANTO: Middleware for Publishing Object-Relational Data as XML Documents","VLDB"
"0","2001","Bit-Sliced Index Arithmetic","SIGMOD Conference"
"0","2001","Treasurer's Message","SIGMOD Record"
"0","1994","A Hypertext Query Language for Images","SIGMOD Record"
"0","1997","The BUCKY Object-Relational Benchmark (Experience Paper)","SIGMOD Conference"
"0","2000","View Management in Multimedia Databases","VLDB J."
"0","2001","Declarative Data Cleaning: Language, Model, and Algorithms","VLDB"
"0","2002","BANKS: Browsing and Keyword Searching in Relational Databases","VLDB"
"0","1998","Garbage Collection in Object-Oriented Databases Using Transactional Cyclic Reference Counting","VLDB J."
"0","2003","XPRESS: A Queriable Compression for XML Data","SIGMOD Conference"
"0","1999","A Novel Index Supporting High Volume Data Warehouse Insertion","VLDB"
"0","1995","Coloring Away Communication in Parallel Query Optimization","VLDB"
"0","2002","Sensor Data Mining: Similarity Search and Pattern Analysis","VLDB"
"0","2003","Privacy-Preserving Indexing of Documents on the Network","VLDB"
"0","1999","SERF: ODMG-Based Generic Re-structuring Facility","SIGMOD Conference"
"0","1998","Multiview Access Protocols for Large-Scale Replication","ACM Trans. Database Syst."
"0","1997","The Case for Enhanced Abstract Data Types","VLDB"
"0","2001","Probe, Count, and Classify: Categorizing Hidden Web Databases","SIGMOD Conference"
"0","1996","The Role of Integrity Constraints in Database Interoperation","VLDB"
"0","1997","M-tree: An Efficient Access Method for Similarity Search in Metric Spaces","VLDB"
"0","1998","The OODB Path-Method Generator (PMG) Using Access Weights and Precomputed Access Relevance","VLDB J."
"0","2000","Metadata Standards for Data Warehousing: Open Information Model vs. Common Warehouse Metamodel","SIGMOD Record"
"0","1994","Comprehension Syntax","SIGMOD Record"
"0","1994","Fast Subsequence Matching in Time-Series Databases","SIGMOD Conference"
"0","2003","Querying Structured Text in an XML Database","SIGMOD Conference"
"0","2001","Online Scaling in a Highly Available Database","VLDB"
"0","1999","Approximate Computation of Multidimensional Aggregates of Sparse Data Using Wavelets","SIGMOD Conference"
"0","2001","Discovering Web Services: An Overview","VLDB"
"0","2002","Coordinating backup/recovery and data consistency between database and file systems","SIGMOD Conference"
"0","1997","Chair's Message","SIGMOD Record"
"0","2000","An Ultra Highly Available DBMS","VLDB"
"0","2002","Progressive Merge Join: A Generic and Non-blocking Sort-based Join Algorithm","VLDB"
"0","1994","Implementation of Magic-sets in a Relational Database System","SIGMOD Conference"
"0","2003","Managing multiple and distributed ontologies on the Semantic Web","VLDB J."
"0","2001","Outlier Detection for High Dimensional Data","SIGMOD Conference"
"0","2002","Energy-performance trade-offs for spatial access methods on memory-resident data","VLDB J."
"0","1995","An Execution Model for Limited Ambiguity Rules and Its Application to Derived Data Update","ACM Trans. Database Syst."
"0","2003","Xquec: Pushing Queries to Compressed XML Data","VLDB"
"0","1997","Dynamic Memory Adjustment for External Mergesort","VLDB"
"0","1998","FileNet Integrated Document Management Database Usage and Issues","SIGMOD Conference"
"0","1994","Data Compression Support in Databases","VLDB"
"0","1998","Supporting Valid-Time Indeterminacy","ACM Trans. Database Syst."
"0","2001","Architectures for Internal Web Services Deployment","VLDB"
"0","1998","Reducing the Braking Distance of an SQL Query Engine","VLDB"
"0","1994","DEC Data Distributor: for Data Replication and Data Warehousing","SIGMOD Conference"
"0","2001","Optimizing Multidimensional Index Trees for Main Memory Access","SIGMOD Conference"
"0","2003","An approach to confidence based page ranking for user oriented Web search","SIGMOD Record"
"0","1996","The Design and Implementation of a Sequence Database System","VLDB"
"0","1996","The Ins and Outs (and Everthing in Between) of Data Warehousing","SIGMOD Conference"
"0","2002","A Multi-Agent System Infrastructure for Software Component Market-Place: An Ontological Perspective","SIGMOD Record"
"0","2001","Reminiscences on Influential Papers","SIGMOD Record"
"0","2003","On the minimization of Xpath queries","VLDB"
"0","1998","DataBlitz: A High Performance Main-Memory Storage Manager","VLDB"
"0","1998","Enterprise Java Platform Data Access","SIGMOD Conference"
"0","1996","Type-safe Relaxing of Schema Consistency Rules for Flexible Modeling in OODBMS","VLDB J."
"0","2000","Optimizing database architecture for the new bottleneck: memory access","VLDB J."
"0","1994","Some Issues in Design of Distributed Deductive Databases","VLDB"
"0","1994","Optimization of Dynamic Query Evaluation Plans","SIGMOD Conference"
"0","2001","A Database Index to Large Biological Sequences","VLDB"
"0","1997","Fast Parallel Similarity Search in Multimedia Databases","SIGMOD Conference"
"0","1996","Join Algorithm Costs Revisited","VLDB J."
"0","2002","Implementing database operations using SIMD instructions","SIGMOD Conference"
"0","1997","Quasi-Cubes: Exploiting Approximations in Multidimensional Databases","SIGMOD Record"
"0","1999","Database Research at the University of Oklahoma","SIGMOD Record"
