"year","title","venue","authors"
"0","In-memory data management for consumer transactions the timesten approach","International Conference on Management of Data","CORPORATE TimesTen Team"
"0","EMC information sharing: direct access to MVS data from UNIX and NT","International Conference on Management of Data","Walt Kohler"
"0","Daytona and the foruth-generation language cymbal","International Conference on Management of Data","Rick Greer"
"0","DataBlitz storage manager: main-memory database performance for critical applications","International Conference on Management of Data","J. Baulier, P. Bohannon, S. Gogate, C. Gupta, S. Haldar"
"0","Indexing medium-dimensionality data in Oracle","International Conference on Management of Data","K. V. Ravi Kanth, Siva Ravada, Jayant Sharma, Jay Banerjee"
"0","Storing semistructured data with STORED","International Conference on Management of Data","Alin Deutsch, Mary Fernandez, Dan Suciu"
"0","Efficient geometry-based similarity search of 3D spatial databases","International Conference on Management of Data","Daniel A. Keim"
"0","A new method for similarity indexing of market basket data","International Conference on Management of Data","Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu"
"0","WALRUS: a similarity retrieval algorithm for image databases","International Conference on Management of Data","Apostol Natsev, Rajeev Rastogi, Kyuseok Shim"
"0","Shrinking the warehouse update Window","International Conference on Management of Data","Wilburt Juan Labio, Ramana Yerneni, Hector Garcia-Molina"
"0","DynaMat: a dynamic view management system for data warehouses","International Conference on Management of Data","Yannis Kotidis, Nick Roussopoulos"
"0","Bottom-up computation of sparse and Iceberg CUBE","International Conference on Management of Data","Kevin Beyer, Raghu Ramakrishnan"
"0","Client-site query extensions","International Conference on Management of Data","Tobias Mayr, Praveen Seshadri"
"0","Data management issues in electronic commerce","International Conference on Management of Data","M. Tamer &#214;zsu"
"0","Of crawlers, portals, mice, and men: is there more to mining the Web?","International Conference on Management of Data","Minos N. Garofalakis, Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim"
"0","Honey, I shrunk the database: footprint, mobility, and beyond","International Conference on Management of Data","Praveen Seshadri"
"0","A layered architecture for querying dynamic Web content","International Conference on Management of Data","Hasan Davulcu, Juliana Freire, Michael Kifer, I. V. Ramakrishnan"
"0","Automatic discovery of language models for text databases","International Conference on Management of Data","Jamie Callan, Margaret Connell, Aiqun Du"
"0","Record-boundary discovery in Web documents","International Conference on Management of Data","D. W. Embley, Y. Jiang, Y.-K. Ng"
"0","Query rewriting for semistructured data","International Conference on Management of Data","Yannis Papakonstantinou, Vasilis Vassalos"
"0","Computing capabilities of mediators","International Conference on Management of Data","Ramana Yerneni, Chen Li, Hector Garcia-Molina, Jeffrey Ullman"
"0","High speed on-line backup when using logical log operations","International Conference on Management of Data","David B. Lomet"
"0","Efficient resumption of interrupted warehouse loads","International Conference on Management of Data","Wilburt Juan Labio, Janet L. Wiener, Hector Garcia-Molina, Vlad Gorelik"
"0","On-line reorganization in object databases","International Conference on Management of Data","Mohana K. Lakhamraju, Rajeev Rastogi, S. Seshadri, S. Sudarshan"
"0","Finding generalized projected clusters in high dimensional spaces","International Conference on Management of Data","Charu C. Aggarwal, Philip S. Yu"
"0","Density biased sampling: an improved method for data mining and clustering","International Conference on Management of Data","Christopher R. Palmer, Christos Faloutsos"
"0","LOF: identifying density-based local outliers","International Conference on Management of Data","Markus M. Breunig, Hans-Peter Kriegel, Raymond T. Ng, J&#246;rg Sander"
"0","Answering complex SQL queries using automatic summary tables","International Conference on Management of Data","Markos Zaharioudakis, Roberta Cochrane, George Lapis, Hamid Pirahesh, Monica Urata"
"0","Synchronizing a database to improve freshness","International Conference on Management of Data","Junghoo Cho, Hector Garcia-Molina"
"0","How to roll a join: asynchronous incremental view maintenance","International Conference on Management of Data","Kenneth Salem, Kevin Beyer, Bruce Lindsay, Roberta Cochrane"
"0","On wrapping query languages and efficient XML integration","International Conference on Management of Data","Vassilis Christophides, Sophie Cluet, J&#233;r&#466;me Sim&#232;on"
"0","XMill: an efficient compressor for XML data","International Conference on Management of Data","Hartmut Liefke, Dan Suciu"
"0","XTRACT: a system for extracting document type descriptors from XML documents","International Conference on Management of Data","Minos Garofalakis, Aristides Gionis, Rajeev Rastogi, S. Seshadri, Kyuseok Shim"
"0","Spatial join selectivity using power laws","International Conference on Management of Data","Christos Faloutsos, Bernhard Seeger, Agma Traina, Caetano Traina, Jr."
"0","MOCHA: a self-extensible database middleware system for distributed data sources","International Conference on Management of Data","Manuel Rodr&#237;guez-Mart&#237;nez, Nick Roussopoulos"
"0","Closest pair queries in spatial databases","International Conference on Management of Data","Antonio Corral, Yannis Manolopoulos, Yannis Theodoridis, Michael Vassilakopoulos"
"0","Influence sets based on reverse nearest neighbor queries","International Conference on Management of Data","Flip Korn, S. Muthukrishnan"
"0","Security of random data perturbation methods","ACM Transactions on Database Systems (TODS)","Krishnamurty Muralidhar, Rathindra Sarathy"
"0","Improving database design through the analysis of relationships","ACM Transactions on Database Systems (TODS)","Debabrata Dey, Veda C. Storey, Terence M. Barron"
"0","The SIFT information dissemination system","ACM Transactions on Database Systems (TODS)","Tak W. Yan, Hector Garcia-Molina"
"0","An ontological analysis of the relationship construct in conceptual modeling","ACM Transactions on Database Systems (TODS)","Yair Wand, Veda C. Storey, Ron Weber"
"0","Chorochronos: a research network for spatiotemporal database systems","ACM SIGMOD Record","Andrew Frank, Stephane Grumbach, Ralf Hartmut G&#252;ting, Christian S. Jensen, Manolis Koubarakis, Nikos Lorentzos, Yannis Manolopoulos, Enrico Nardelli, Barbara Pernici, Hans-J&#246;rg Schek, Michel Scholl, Timos Sellis, Babis Theodoulidis, Peter Widmayer"
"0","Engineering federated information systems: report of EEFIS '99 workshop","ACM SIGMOD Record","S. Conrad, W. Hasselbring, U. Hohenstein, R.-D. Kutsche, M. Roantree, G. Saake, F. Saltor"
"0","First-class views: a key to user-centered computing","ACM SIGMOD Record","Arnon Rosenthal, Edward Sciore"
"0","Cost estimation of user-defined methods in object-relational database systems","ACM SIGMOD Record","Jihad Boulos, Kinji Ono"
"0","Distributed transactions in practice","ACM SIGMOD Record","Prabhu Ram, Lyman Do, Pamela Drew"
"0","On mutli-resolution document transmission in mobile Web","ACM SIGMOD Record","Stanley M. T. Yau, Hong Va Leong, Dennis McLeod, Antonio Si"
"0","An overview and classification of mediated query systems","ACM SIGMOD Record","Ruxandra Domenig, Klaus R. Dittrich"
"0","A distributed scientific data archive using the Web, XML and SQL/MED","ACM SIGMOD Record","Mark Papiani, Jasmin L. Wason, Alistair N. Dunlop, Denis A. Nicole"
"0","Mining frequent patterns without candidate generation","International Conference on Management of Data","Jiawei Han, Jian Pei, Yiwen Yin"
"0","Database research at the University of Oklahoma","ACM SIGMOD Record","Le Gruenwald, Leonard Brown, Ravi Dirckze, Sylvain Guinepain, Carlos Sanchez, Brian Summers, Sirirut Vanichayobon"
"0","Turbo-charging vertical mining of large databases","International Conference on Management of Data","Pradeep Shenoy, Jayant R. Haritsa, S. Sundarshan, Gaurav Bhalotia, Mayank Bawa, Devavrat Shah"
"0","Data mining on an OLTP system (nearly) for free","International Conference on Management of Data","Erik Riedel, Christos Faloutsos, Gregory R. Ganger, David F. Nagle"
"0","A study on data point search for HG-trees","ACM SIGMOD Record","Joseph Kuan, Paul Lewis"
"0","The OASIS multidatabase prototype","ACM SIGMOD Record","Mark Roantree, John Murphy, Wilhelm Hasselbring"
"0","Efficient materialization and use of views in data warehouses","ACM SIGMOD Record","M&#225;rcio Farias de Souza, Marcus Costa Sampaio"
"0","Design principles for data-intensive Web sites","ACM SIGMOD Record","Stefano Ceri, Piero Fraternali, Stefano Paraboschi"
"0","SQL: 1999, formerly known as SQL3","ACM SIGMOD Record","Andrew Eisenberg, Jim Melton"
"0","Broadcast protocols to support efficient retrieval from databases by mobile users","ACM Transactions on Database Systems (TODS)","Anindya Datta, Debra E. VanderMeer, Aslihan Celik, Vijay Kumar"
"0","Video anywhere: a system for searching and managing distributed heterogeneous video assets","ACM SIGMOD Record","Amit Sheth, Clemens Bertram, Kshitij Shah"
"0","NSF workshop on industrial/academic cooperation in database systems","ACM SIGMOD Record","Mike Carey, Len Seligman"
"0","Optimization of queries with user-defined predicates","ACM Transactions on Database Systems (TODS)","Surajit Chaudhuri, Kyuseok Shim"
"0","GlOSS: text-source discovery over the Internet","ACM Transactions on Database Systems (TODS)","Luis Gravano, H&#233;ctor Garc&#237;a-Molina, Anthony Tomasic"
"0","Database design for incomplete relations","ACM Transactions on Database Systems (TODS)","Mark Levene, George Loizou"
"0","Temporal FDs on complex objects","ACM Transactions on Database Systems (TODS)","Jef Wijsen"
"0","Indexing large metric spaces for similarity search queries","ACM Transactions on Database Systems (TODS)","Tolga Bozkaya, Meral Ozsoyoglu"
"0","Specification and implementation of exceptions in workflow management systems","ACM Transactions on Database Systems (TODS)","Fabio Casati, Stefano Ceri, Stefano Paraboschi, Guiseppe Pozzi"
"0","Distance browsing in spatial databases","ACM Transactions on Database Systems (TODS)","G&#237;sli R. Hjaltason, Hanan Samet"
"0","Type-checking OQL queries in the ODMG type systems","ACM Transactions on Database Systems (TODS)","Suad Alag&#237;c"
"0","The middleware muddle","ACM SIGMOD Record","David Ritter"
"0","The Asilomar report on database research","ACM SIGMOD Record","Phil Bernstein, Michael Brodie, Stefano Ceri, David DeWitt, Mike Franklin, Hector Garcia-Molina, Jim Gray, Jerry Held, Joe Hellerstein, H. V. Jagadish, Michael Lesk, Dave Maier, Jeff Naughton, Hamid Pirahesh, Mike Stonebraker, Jeff Ullman"
"0","Electronic market: the roadmap for university libraries and members to survive in the information jungle","ACM SIGMOD Record","Michael Christoffel, Sebastian Pulkowski, Bethina Schmitt, Peter C. Lockemann"
"0","An anonymous electronic commerce scheme with an off-line authority and untrusted agents","ACM SIGMOD Record","Josep Domingo-Ferrer, Jordi Herrera-Joancomart&#237;"
"0","Semantic and pedagogic interoperability mechanisms in the ARIADNE educational repository","ACM SIGMOD Record","E. Forte, F. Haenni, K. Warkentyne, E. Duval, K. Cardinaels, E. Vervaet, K. Hendrikx, M. Wentland Forte, F. Simillion"
"0","Semantic integration of environmental models for application to global information systems and decision-making","ACM SIGMOD Record","D. Scott Mackay"
"0","Semantic interoperability in global information systems","ACM SIGMOD Record","A. M. Ouksel, A. Sheth"
"0","SQLJ Part 0, now known as SQL/OLB (Object-Language Bindings)","ACM SIGMOD Record","Andrew Eisenberg, Jim Melton"
"0","Dynamic service matchmaking among agents in open information environments","ACM SIGMOD Record","Katia Sycara, Matthias Klusch, Seth Widoff, Jianguo Lu"
"0","Contextualizing the information space in federated digital libraries","ACM SIGMOD Record","M. P. Papazoglou, J. Hoppenbrouwers"
"0","Semantic video indexing: approach and issues","ACM SIGMOD Record","Arun Hampapur"
"0","Unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems","ACM SIGMOD Record","Ken Smith, Leo Obrst"
"0","Report on the 13th Brazilian symposium on database systems (SBBD'98)","ACM SIGMOD Record","Mario A. Nascimento, Claudia Bauzer Medeiros"
"0","Semantic interoperability in information services: experiencing with CoopWARE","ACM SIGMOD Record","Avigdor Gal"
"0","Agent-based semantic interoperability in infosleuth","ACM SIGMOD Record","Jerry Fowler, Brad Perry, Marian Nodine, Bruce Bargmeyer"
"0","Semantic integration of semistructured and structured data sources","ACM SIGMOD Record","S. Bergamaschi, S. Castano, M. Vincini"
"0","Keynote Address","International Conference on Management of Data","Robert S. Epstein"
"0","Keynote address","International Conference on Management of Data","Larry J. Ellison"
"0","Object normal forms and dependency constraints for object-oriented schemata","ACM Transactions on Database Systems (TODS)","Zahir Tari, John Stokes, Stefano Spaccapietra"
"0","Database design with common sense business reasoning and learning","ACM Transactions on Database Systems (TODS)","Veda C. Storey, Roger H. L. Chiang, Debabrata Dey, Robert C. Goldstein, Shankar Sudaresan"
"0","Inverted files versus signature files for text indexing","ACM Transactions on Database Systems (TODS)","Justin Zobel, Alistair Moffat, Kotagiri Ramamohanarao"
"0","Ensuring consistency in multidatabases by preserving two-level serializability","ACM Transactions on Database Systems (TODS)","Sharad Mehrotra, Rajeev Rastogi, Henry F. Korth, Abraham Silberschatz"
"0","Towards a theory of cost management for digital libraries and electronic commerce","ACM Transactions on Database Systems (TODS)","A. Prasad Sistla, Ouri Wolfson, Yelena Yesha, Robert Sloan"
"0","Information gathering in the World-Wide Web: the W3QL query language and the W3QS system","ACM Transactions on Database Systems (TODS)","David Konopnicki, Oded Shmueli"
"0","A protein patent query system powered by Kleisli","International Conference on Management of Data","Jing Chen, Limsoon Wong, Louxin Zhang"
"0","DTL's DataSpot: database exploration as easy as browsing the Web...","International Conference on Management of Data","Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon"
"0","Multiview access protocols for large-scale replication","ACM Transactions on Database Systems (TODS)","Xiangning Liu, Abdelsalam Helal, Weimin Du"
"0","Optimization techniques for queries with expensive methods","ACM Transactions on Database Systems (TODS)","Joseph M. Hellerstein"
"0","MultiMediaMiner: a system prototype for multimedia data mining","International Conference on Management of Data","Osmar R. Za&#239;ane, Jiawei Han, Ze-Nian Li, Sonny H. Chee, Jenny Y. Chiang"
"0","Xmas: an extensible main-memory storage system for high-performance applications","International Conference on Management of Data","Jang Ho Park, Yong Sik Kwon, Ki Hong Kim, Sang Ho Lee, Byoung Dae Park, Sang Kyun Cha"
"0","The IDEA Web lab","International Conference on Management of Data","Stefano Ceri, Piero Fraternali, Stefano Paraboschi"
"0","SuperSQL: an extended SQL for database publishing and presentation","International Conference on Management of Data","Motomichi Toyama"
"0","CONTROL: continuous output and navigation technology with refinement on-line","International Conference on Management of Data","Ron Avnur, Joseph M. Hellerstein, Bruce Lo, Chris Olston, Bhaskaran Raman, Vijayshankar Raman, Tali Roth, Kirk Wylie"
"0","AMDB: an access method debugging tool","International Conference on Management of Data","Marcel Kornacker, Mehul Shah, Joseph M. Hellerstein"
"0","User-oriented smart-cache for the Web: what you seek is what you get!","International Conference on Management of Data","Zo&#233; Lacroix, Arnaud Sahuguet, Raman Chandrasekar"
"0","The multidimensional database system RasDaMan","International Conference on Management of Data","P. Baumann, A. Dehmel, P. Furtado, R. Ritsch, N. Widmann"
"0","FlowBack: providing backward recovery for workflow management systems","International Conference on Management of Data","Bartek Kiepuszewski, Ralf Muhlberger, Maria E. Orlowska"
"0","Providing database-like access to the Web using queries based on textual similarity","International Conference on Management of Data","William W. Cohen"
"0","Ariadne: a system for constructing mediators for Internet sources","International Conference on Management of Data","Jos&#233; Luis Ambite, Naveen Ashish, Greg Barish, Craig A. Knoblock, Steven Minton, Pragnesh J. Modi, Ion Muslea, Andrew Philpot, Sheila Tejada"
"0","Capability based mediation in TSIMMIS","International Conference on Management of Data","Chen Li, Ramana Yerneni, Vasilis Vassalos, Hector Garcia-Molina, Yannis Papakonstantinou, Jeffrey Ullman, Murty Valiveti"
"0","The Araneus Web-based management system","International Conference on Management of Data","G. Mecca, P. Atzeni, A. Masci, G. Sindoni, P. Merialdo"
"0","CQ: a personalized update monitoring toolkit","International Conference on Management of Data","Ling Liu, Calton Pu, Wei Tang, David Buttler, John Biggs, Tong Zhou, Paul Benninghoff, Wei Han, Fenghua Yu"
"0","DataSplash","International Conference on Management of Data","Chris Olston, Allison Woodruff, Alexander Aiken, Michael Chu, Vuk Ercegovac, Mark Lin, Mybrid Spalding, Michael Stonebraker"
"0","Microsoft index turning wizard for SQL Server 7.0","International Conference on Management of Data","Surajit Chaudhuri, Vivek Narasayya"
"0","Olympic records for data at the 1998 Nagano games","International Conference on Management of Data","Edwin R. Lassettre"
"0","Delivering high availability for Inktomi search engines","International Conference on Management of Data","Eric A. Brewer"
"0","Microsoft.com: a high-scale data management and transaction processing solution","International Conference on Management of Data","Sherri Kennamer"
"0","Free parallel data mining","International Conference on Management of Data","Bin Li, Dennis Shasha"
"0","Real business processing meets the Web","International Conference on Management of Data","James Chong"
"0","Developing a high traffic, read-only Web site","International Conference on Management of Data","John Nauman, Ray Suorsa"
"0","FileNet integrated document management database usage and issues","International Conference on Management of Data","Daniel S. Whelan"
"0","About Quark Digital Media System","International Conference on Management of Data","Kamar Aulakh"
"0","50,000 users on an Oracle8 universal server database","International Conference on Management of Data","Tirthankar Lahiri, Ashok Joshi, Amit Jasuja, Sumanta Chatterjee"
"0","Oracle Rdb's record caching model","International Conference on Management of Data","Richard Anderson, Gopalan Arun, Richard Frank"
"0","A data mining application: customer retention at the Port of Singapore Authority (PSA)","International Conference on Management of Data","KianSing Ng, Huan Liu, HweeBong Kwah"
"0","Transactional publish/subscribe: the proactive multicast of database changes (abstract)","International Conference on Management of Data","Arvola Chan"
"0","The PointCast network (abstract)","International Conference on Management of Data","Satish Ramakrishnan, Vibha Dayal"
"0","Data in your face: push technology in perspective","International Conference on Management of Data","Michael Franklin, Stan Zdonik"
"0","Ubiquitous, self-tuning, scalable servers","International Conference on Management of Data","Peter Spiro"
"0","Database systems management and Oracle8","International Conference on Management of Data","C. Gregory Doherty"
"0","Managing large systems with DB2 UDB","International Conference on Management of Data","Chris Eaton"
"0","SQL open heterogeneous data access","International Conference on Management of Data","Berthold Reinwald, Hamid Pirahesh"
"0","Enterprise Java platform data access","International Conference on Management of Data","Seth White, Rick Cattell, Shel Finkelstein"
"0","Microsoft universal data access platform","International Conference on Management of Data","Jos&#233; A. Blakeley, Michael J. Pizzo"
"0","Java and relational databases (tutorial): SQLJ","International Conference on Management of Data","Gray Clossman, Phil Shaw, Mark Hapner, Johannes Klein, Richard Pledereder, Brian Becker"
"0","High-dimensional index structures database support for next decade's applications (tutorial)","International Conference on Management of Data","Stefan Berchtold, Daniel A. Keim"
"0","Electronic commerce: tutorial","International Conference on Management of Data","Nabil R. Adam, Yelena Yesha"
"0","SAP R/3 (tutorial): a database application system","International Conference on Management of Data","Alfons Kemper, Donald Kossmann, Florian Matthes"
"0","Are we working on the right problems? (panel)","International Conference on Management of Data","Michael Stonebraker"
"0","Next generation database systems won't work without semantics! (panel)","International Conference on Management of Data","John Mylopoulos"
"0","Memory management during run generation in external sorting","International Conference on Management of Data","Per-&#197;ke Larson, Goetz Graefe"
"0","Replication, consistency, and practicality: are these mutually exclusive?","International Conference on Management of Data","Todd Anderson, Yuri Breitbart, Henry F. Korth, Avishai Wool"
"0","Wavelet-based histograms for selectivity estimation","International Conference on Management of Data","Yossi Matias, Jeffrey Scott Vitter, Min Wang"
"0","Efficient transparent application recovery in client-server information systems","International Conference on Management of Data","David Lomet, Gerhard Weikum"
"0","Approximate medians and other quantiles in one pass and with limited memory","International Conference on Management of Data","Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay"
"0","Random sampling for histogram construction: how much is enough?","International Conference on Management of Data","Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya"
"0","A multi-similarity algebra","International Conference on Management of Data","S. Adali, P. Bonatti, M. L. Sapino, V. S. Subrahmanian"
"0","Catching the boat with Strudel: experiences with a Web-site management system","International Conference on Management of Data","Mary Fern&#225;ndez, Daniela Florescu, Jaewoo Kang, Alon Levy, Dan Suciu"
"0","On parallel processing of aggregate and scalar functions in object-relational DBMS","International Conference on Management of Data","Michael Jaedicke, Bernhard Mitschang"
"0","Secure and portable database extensibility","International Conference on Management of Data","Michael Godfrey, Tobias Mayr, Praveen Seshadri, Thorsten von Eicken"
"0","On random sampling over joins","International Conference on Management of Data","Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya"
"0","Random sampling techniques for space efficient online computation of order statistics of large datasets","International Conference on Management of Data","Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay"
"0","Ripple joins for online aggregation","International Conference on Management of Data","Peter J. Haas, Joseph M. Hellerstein"
"0","Join synopses for approximate query answering","International Conference on Management of Data","Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy"
"0","Query optimization in the presence of limited access patterns","International Conference on Management of Data","Daniela Florescu, Alon Levy, Ioana Manolescu, Dan Suciu"
"0","An adaptive query execution system for data integration","International Conference on Management of Data","Zachary G. Ives, Daniela Florescu, Marc Friedman, Alon Levy, Daniel S. Weld"
"0","Mind your vocabulary: query mapping across heterogeneous information sources","International Conference on Management of Data","Chen-Chuan K. Chang, H&#233;ctor Garc&#237;a-Molina"
"0","Query processing techniques for arrays","International Conference on Management of Data","Arunprasad P. Marathe, Kenneth Salem"
"0","BOAT-optimistic decision tree construction","International Conference on Management of Data","Johannes Gehrke, Venkatesh Ganti, Raghu Ramakrishnan, Wei-Yin Loh"
"0","Optimization of constrained frequent set queries with 2-variable constraints","International Conference on Management of Data","Laks V. S. Lakshmanan, Raymond Ng, Jiawei Han, Alex Pang"
"0","Approximate computation of multidimensional aggregates of sparse data using wavelets","International Conference on Management of Data","Jeffrey Scott Vitter, Min Wang"
"0","Self-tuning histograms: building histograms without looking at data","International Conference on Management of Data","Ashraf Aboulnaga, Surajit Chaudhuri"
"0","An efficient bitmap encoding scheme for selection queries","International Conference on Management of Data","Chee-Yong Chan, Yannis E. Ioannidis"
"0","Multi-dimensional selectivity estimation using compressed histogram information","International Conference on Management of Data","Ju-Hong Lee, Deok-Hwan Kim, Chin-Wan Chung"
"0","A comparison of selectivity estimators for range queries on metric attributes","International Conference on Management of Data","Bj&#246;rn Blohsfeld, Dieter Korus, Bernhard Seeger"
"0","Query optimization for selections using bitmaps","International Conference on Management of Data","Ming-Chuan Wu"
"0","Fast algorithms for projected clustering","International Conference on Management of Data","Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu, Cecilia Procopiuc, Jong Soo Park"
"0","Logical logging to extend recovery to new domains","International Conference on Management of Data","David Lomet, Mark Tuttle"
"0","Efficient concurrency control for broadcast environments","International Conference on Management of Data","Jayavel Shanmugasundaram, Arvind Nithrakashyap, Rajendran Sivasankaran, Krithi Ramamritham"
"0","Update propagation protocols for replicated databates","International Conference on Management of Data","Yuri Breitbart, Raghavan Komondoor, Rajeev Rastogi, S. Seshadri, Avi Silberschatz"
"0","Belief reasoning in MLS deductive databases","International Conference on Management of Data","Hasan M. Jamil"
"0","A multimedia presentation algebra","International Conference on Management of Data","S. Adali, M. L. Sapino, V. S. Subrahmanian"
